,symbol,year,tolerance,bs_balances_passed,bs_balances_delta,is_pretax_profit_passed,is_pretax_profit_delta,cf_indirect_ties_to_cash_passed,cf_indirect_ties_to_cash_delta,cf_direct_ties_to_cash_passed,cf_direct_ties_to_cash_delta,cfo_methods_agree_passed,cfo_methods_agree_delta,cash_change,cfo_indirect,cfo_direct,cfi_indirect,cfi_direct,cff_indirect,cff_direct,fx_effect_indirect,fx_effect_direct
0,TNG,2009,1.0,True,0.0,True,0.0,,,,,False,19351969569.0,,67061523923.0,47709554354.0,-38112300242.0,-34313666263.0,-28566834905.0,-12849962363.0,0.0,0.0
0,TNG,2010,1.0,True,0.0,True,0.0,True,0.0,False,1287299431.0,False,15342209630.0,10734779972.0,-10823731754.0,-26165941384.0,-63593389959.0,-45572864122.0,85151901685.0,83760884909.0,0.0,0.0
0,TNG,2011,1.0,True,0.0,True,0.0,True,0.0,False,-181200000.0,False,25642472131.0,36368606418.0,-22663772337.0,-48306244468.0,-199323871974.0,-168220727062.0,258356250729.0,252714377948.0,0.0,0.0
0,TNG,2012,1.0,True,0.0,True,0.0,True,0.0,False,77550767.0,False,-10132192318.0,-46217826387.0,-65759584902.0,-55627392584.0,-90496523977.0,-107619826383.0,110038282492.0,117106943347.0,0.0,0.0
0,TNG,2013,1.0,True,0.0,True,0.0,True,0.0,True,0.0,False,20169421291.0,-1431884929.0,123617737231.0,103448315940.0,-96412791949.0,-74133876844.0,-28636830211.0,-30746324025.0,0.0,0.0
0,TNG,2014,1.0,True,0.0,True,0.0,True,0.0,False,-621520000.0,False,59135157072.0,2027617649.0,-481755360.0,-59616912432.0,-146378744026.0,-68327455869.0,148888117035.0,129350465950.0,0.0,0.0
0,TNG,2015,1.0,True,0.0,True,0.0,True,0.0,True,0.0,False,107262149425.0,42236404009.0,49573642612.0,-57688506813.0,-241727173500.0,-92838005263.0,234389934897.0,192762916085.0,0.0,0.0
0,TNG,2016,1.0,True,0.0,True,0.0,True,0.0,True,0.0,False,149408742442.0,-44681368316.0,-62363543.0,-149471105985.0,-246559693776.0,-112483804991.0,201940689003.0,217273542660.0,0.0,0.0
0,TNG,2017,1.0,True,0.0,True,0.0,True,0.0,True,0.0,False,-27790807615.0,-1498998864.0,-66401526341.0,-38610718726.0,-138735509985.0,-108327039376.0,203638037462.0,145438759238.0,0.0,0.0
0,TNG,2018,1.0,True,0.0,True,0.0,True,0.0,False,89203181.0,False,-137959620573.0,2417788032.0,115506156694.0,253465777267.0,-208045904701.0,-160370599564.0,94400225966.0,-90588186490.0,557310073.0,0.0
