symbol,period,balance_identity,gross_profit_decomposes,cf_sums_to_net,cf_internal_roll,total_liabilities_identity,net_income_parent_identity,issuance_nonneg
A32,2017,True,True,True,True,True,True,True
A32,2018,True,True,True,True,True,True,True
A32,2019,True,True,True,True,True,True,True
A32,2020,True,True,True,True,True,True,True
A32,2021,True,True,True,True,True,True,True
A32,2022,True,True,True,True,True,True,True
A32,2023,True,True,True,True,True,True,True
A32,2024,True,True,True,True,True,True,True
A32,2025,True,True,True,True,True,True,True
AAA,2009,True,True,True,True,True,True,True
AAA,2010,True,True,True,True,True,True,True
AAA,2011,True,True,True,True,True,True,True
AAA,2012,True,True,True,True,True,True,True
AAA,2013,True,True,True,True,True,True,True
AAA,2014,True,True,True,True,True,True,True
AAA,2015,True,True,True,True,True,True,True
AAA,2016,True,True,True,True,True,True,True
AAA,2017,True,True,True,True,True,True,True
AAA,2018,True,True,True,True,True,True,True
AAA,2019,True,True,True,True,True,True,True
AAA,2020,True,True,True,True,True,True,True
AAA,2021,True,True,True,True,True,True,True
AAA,2022,True,True,True,True,True,True,True
AAA,2023,True,True,True,True,True,True,True
AAA,2024,True,True,True,True,True,True,True
AAA,2025,True,True,True,True,True,True,True
AAH,2019,True,True,True,True,True,True,True
AAH,2020,True,True,True,True,True,True,True
AAH,2021,True,True,True,True,True,True,True
AAH,2022,True,True,True,True,True,True,True
AAH,2023,True,True,True,True,True,True,True
AAH,2024,True,True,True,True,True,True,True
AAH,2025,True,True,True,True,True,True,True
AAM,2009,True,True,True,True,True,True,True
AAM,2010,True,True,True,True,True,True,True
AAM,2011,True,True,True,True,True,True,True
AAM,2012,True,True,True,True,True,True,True
AAM,2013,True,True,True,True,True,True,True
AAM,2014,True,True,True,True,True,True,True
AAM,2015,True,True,True,True,True,True,True
AAM,2016,True,True,True,True,True,True,True
AAM,2017,True,True,True,True,True,True,True
AAM,2018,True,True,True,True,True,True,True
AAM,2019,True,True,True,True,True,True,True
AAM,2020,True,True,True,True,True,True,True
AAM,2021,True,True,True,True,True,True,True
AAM,2022,True,True,True,True,True,True,True
AAM,2023,True,True,True,True,True,True,True
AAM,2024,True,True,True,True,True,True,True
AAM,2025,True,True,True,True,True,True,True
AAT,2019,True,True,True,True,True,True,True
AAT,2020,True,True,True,True,True,True,True
AAT,2022,True,True,True,True,True,True,True
AAT,2024,True,True,True,True,True,True,True
AAT,2025,True,True,True,True,True,True,True
AAV,2015,True,True,True,True,True,True,True
AAV,2016,True,True,True,True,True,True,True
AAV,2017,True,True,True,True,True,True,True
AAV,2019,True,True,True,True,True,True,True
AAV,2020,True,True,True,True,True,True,True
AAV,2021,True,True,True,True,True,True,True
AAV,2022,True,True,True,True,True,True,True
