,Symbol,TradeCenterId,CategoryId,CompanyName,CategoryName,Price,TotalCompany
1002,PNC,1,346,Công ty Cổ phần Văn hóa Phương Nam,Dịch vụ,29.9,1640
1483,VE4,2,345,Công ty Cổ phần Xây dựng điện VNECO4,Bất động sản và Xây dựng,260.0,1640
579,HLC,2,340,Công ty cổ phần Than Hà Lầm - Vinacomin,Năng lượng,10.9,1640
1443,V12,2,345,Công ty Cổ phần Xây dựng số 12,Bất động sản và Xây dựng,11.2,1640
1310,TDT,2,339,Công ty cổ phần Đầu tư và Phát triển TDT,Hàng tiêu dùng,7.0,1640
644,HVN,1,343,Tổng Công ty Hàng không Việt Nam - CTCP,Công nghiệp,24.3,1640
388,DSE,1,400,Công ty Cổ phần Chứng khoán DNSE,Chứng khoán và Đầu tư,22.4,1640
296,DAD,2,346,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng,Dịch vụ,15.4,1640
183,C47,1,345,Công ty Cổ phần Xây dựng 47,Bất động sản và Xây dựng,9.2,1640
1573,VPL,1,345,Công ty Cổ phần Vinpearl,Bất động sản và Xây dựng,81.8,1640
796,MCO,2,345,Công ty Cổ phần Đầu tư và Xây dựng BDC Việt Nam,Bất động sản và Xây dựng,5.2,1640
408,DVM,2,342,Công ty Cổ phần Dược liệu Việt Nam,Y tế,6.0,1640
995,PMC,2,342,Công ty Cổ phần Dược phẩm Dược liệu Pharmedic,Y tế,128.7,1640
244,CMG,1,347,Công ty Cổ phần Tập đoàn Công nghệ CMC,Công nghệ,26.3,1640
485,GEE,1,343,Công ty cổ phần Điện lực GELEX,Công nghiệp,81.0,1640
235,CLH,2,345,Công ty cổ phần Xi măng La Hiên VVMI,Bất động sản và Xây dựng,20.0,1640
987,PJT,1,343,Công ty Cổ phần Vận tải Xăng dầu Đường thủy Petrolimex,Công nghiệp,8.91,1640
1325,THS,2,345,Công ty cổ phần Thanh Hoa - Sông Đà,Bất động sản và Xây dựng,9.1,1640
959,PDV,1,340,Công ty Cổ phần Vận tải và Tiếp vận Phương Đông Việt,Năng lượng,8.78,1640
1363,TNT,1,344,Công ty Cổ phần Tập đoàn TNT,Nguyên vật liệu,10.8,1640
237,CLL,1,343,Công ty cổ phần Cảng Cát Lái,Công nghiệp,30.15,1640
545,HDA,2,344,Công ty Cổ phần Hãng sơn Đông Á,Nguyên vật liệu,6.4,1640
1303,TDG,1,340,Công ty Cổ phần Đầu tư TDG Global,Năng lượng,2.34,1640
976,PHN,2,343,Công ty Cổ phần Pin Hà Nội,Công nghiệp,56.1,1640
628,HTI,1,343,Công ty Cổ phần Đầu tư phát triển hạ tầng IDICO,Công nghiệp,19.0,1640
1560,VNS,1,343,Công ty Cổ phần Ánh Dương Việt Nam,Công nghiệp,7.69,1640
548,HDG,1,345,Công ty Cổ phần Tập đoàn Hà Đô,Bất động sản và Xây dựng,18.95,1640
498,GLT,2,0,Công ty cổ phần Kỹ thuật điện Toàn Cầu,,30.0,1640
151,BSR,1,340,Công ty Cổ phần - Tổng Công ty Lọc Hóa dầu Việt Nam,Năng lượng,26.85,1640
1210,SJS,1,345,Công ty Cổ phần SJ Group,Bất động sản và Xây dựng,46.95,1640
