ID,Symbol,CompanyName,Exchange,IndustryName1,IndustryName2,IndustryName3,FirstTradeDate,BeforeExchange,DelistedReason,IsTerminated
4712.0,A32,CTCP 32,UPCOM,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,2018-10-22 17:00:00,,,False
2541.0,AAA,CTCP Nhựa An Phát Xanh,HOSE,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,2016-11-24 17:00:00,HNX,"AAA: Ngày 18/11/2016, ngày hủy niêm yết cổ phiếu của CTCP Nhựa và Môi trường xanh An Phát",False
5601.0,AAH,CTCP Hợp Nhất,UPCOM,Năng lượng,Năng lượng,Dầu khí,2024-01-10 17:00:00,,,False
1813.0,AAM,CTCP Thủy sản MeKong,HOSE,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,2009-09-23 17:00:00,,,False
5816.0,AAN,CTCP Lương thực A An,HOSE,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,2026-05-21 17:00:00,,,False
3905.0,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa ,HOSE,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,2021-03-23 17:00:00,,,False
4522.0,AAV,CTCP AAV Group,UPCOM,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,2026-05-25 17:00:00,HNX,"AAV: Ngày 15/05/2026, về việc hủy bỏ niêm yết bắt buộc cổ phiếu AAV  của Công ty cổ phần AAV Group",False
2920.0,ABC,CTCP Truyền thông VMG,UPCOM,Dịch vụ truyền thông,Dịch vụ viễn thông,Dịch vụ viễn thông đa dạng,2016-08-17 17:00:00,,,False
4473.0,ABR,CTCP Đầu tư Nhãn hiệu Việt,HOSE,Dịch vụ truyền thông,Dịch vụ viễn thông,Dịch vụ viễn thông đa dạng,2022-03-02 17:00:00,UPCOM,"ABR: Ngày 22/02/2022, ngày hủy ĐKGD cổ phiếu của CTCP Đầu tư Nhãn hiệu Việt",False
4784.0,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,HOSE,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,2020-03-17 17:00:00,,,False
783.0,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,HOSE,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,2006-12-24 17:00:00,,,False
2041.0,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,HOSE,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,2011-06-29 17:00:00,,,False
1525.0,ACE,CTCP Bê tông Ly tâm An Giang,UPCOM,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,2009-11-09 17:00:00,,,False
