score_year,fiscal_year,ticker,fscore,sector,bm,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_eq_offer,f_dmargin,f_dturn
2011,2011,AAA,3,Materials,3.1318069943058906,1,1,0,0,1,0,0,0,0
2011,2011,AAM,6,Consumer Staples,1.4088627262212916,1,1,1,0,1,0,1,0,1
2011,2011,ACC,4,Materials,1.067459082961111,1,1,0,0,0,1,1,0,0
2011,2011,ACL,8,Consumer Staples,0.9419242503967382,1,1,1,0,1,1,1,1,1
2011,2011,ADC,6,Communication Services,2.211919421147541,1,1,0,1,0,1,1,0,1
2011,2011,AGD,6,Unknown,0.8458705412191369,1,0,1,0,1,1,1,1,0
2011,2011,AGF,7,Consumer Staples,2.396552210674256,1,0,1,0,1,1,1,1,1
2011,2011,ALP,3,Unknown,1.738815557844687,1,0,0,0,1,0,1,0,0
2011,2011,ALT,5,Materials,3.473604185305064,1,0,0,0,1,1,1,0,1
2011,2011,ANI,4,Real Estate,3.4026122610879628,1,0,0,0,1,0,1,1,0
2011,2011,ANV,5,Consumer Staples,2.9802270759374996,1,0,1,0,1,0,1,0,1
2011,2011,APC,5,Industrials,0.9339809273145188,1,1,1,0,0,0,1,0,1
2011,2011,ARM,4,Industrials,1.021706299461831,1,0,1,0,0,0,1,0,1
2011,2011,ASM,3,Consumer Staples,0.7511211368594686,1,0,0,0,1,1,0,0,0
2011,2011,ASP,5,Utilities,2.8818031855035273,0,1,0,1,1,0,1,0,1
2011,2011,ATA,5,Consumer Staples,2.0577673445220706,1,1,0,0,1,0,1,1,0
2011,2011,AVF,4,Unknown,1.8441027319007093,1,0,0,0,1,1,1,0,0
2011,2011,BBC,7,Unknown,3.365997647130137,1,0,1,0,1,1,1,1,1
2011,2011,BCC,8,Materials,3.489791834341057,1,1,0,1,1,1,1,1,1
2011,2011,BCE,4,Industrials,1.7413159504722222,1,0,1,0,0,1,0,1,0
2011,2011,BCI,4,Real Estate,1.609917468645124,1,0,0,0,1,0,1,1,0
2011,2011,BGM,5,Materials,2.9952596481997675,1,0,0,0,1,1,1,1,0
2011,2011,BHC,4,Materials,1.851257137984496,0,1,0,1,1,0,1,0,0
2011,2011,BKC,4,Materials,2.344916677223837,1,1,0,0,0,0,1,1,0
2011,2011,BLF,6,Consumer Staples,4.695463614294118,1,0,1,0,1,1,1,1,0
2011,2011,BMC,9,Materials,0.8855057218151695,1,1,1,1,1,1,1,1,1
2011,2011,BMJ,3,Materials,0.6652270885037879,1,0,0,0,0,0,1,0,1
2011,2011,BMP,5,Materials,0.8569990183288747,1,1,0,0,0,1,1,0,1
2011,2011,BRC,5,Consumer Discretionary,2.143185736062343,1,1,0,0,1,0,1,0,1
2011,2011,BT6,3,Materials,2.1630664735057454,1,0,0,0,0,0,1,1,0
2011,2011,BTP,7,Utilities,5.1573875230096,1,1,1,1,1,1,0,0,1
2011,2011,BTS,7,Materials,2.799281598252971,0,1,0,1,1,1,1,1,1
2011,2011,BTT,8,Consumer Discretionary,1.7550778906283422,1,1,1,1,1,0,1,1,1
2011,2011,BTW,6,Utilities,1.2317545320229182,1,1,1,0,0,1,1,0,1
2011,2011,C21,3,Real Estate,1.6386587128502592,1,1,0,0,0,0,1,0,0
2011,2011,CAN,5,Consumer Staples,0.9601993505083334,1,0,1,0,1,0,1,0,1
2011,2011,CAP,8,Materials,1.7948196870528623,1,1,1,1,1,1,1,0,1
2011,2011,CLC,6,Consumer Staples,1.4291328793323643,1,1,1,1,0,0,1,1,0
2011,2011,CLG,4,Real Estate,1.0335030599349593,1,0,0,0,0,1,1,0,1
2011,2011,CLW,8,Utilities,1.6921521340265906,1,1,1,1,1,0,1,1,1
2011,2011,CMI,0,Materials,2.28212065963662,0,0,0,0,0,0,0,0,0
2011,2011,CMV,6,Consumer Discretionary,0.6343144557497651,1,0,1,0,0,1,1,1,1
2011,2011,CMX,5,Consumer Staples,2.4084771488803542,1,1,0,1,0,0,1,1,0
2011,2011,CNG,5,Utilities,0.8484591800061291,1,1,0,1,0,0,1,0,1
2011,2011,CNT,5,Real Estate,2.8012805654585917,1,1,0,1,1,0,1,0,0
2011,2011,COM,7,Energy,0.9709979615109976,1,1,0,1,1,1,1,0,1
2011,2011,CSC,6,Real Estate,3.366803194522475,1,1,0,0,1,1,1,1,0
2011,2011,CSG,3,Industrials,2.704622405710291,1,0,0,0,0,1,1,0,0
2011,2011,CSM,3,Consumer Discretionary,1.646731566619812,1,0,0,0,0,0,1,0,1
2011,2011,CTA,3,Industrials,2.981557138737027,1,0,0,0,0,0,1,1,0
2011,2011,CTI,2,Industrials,0.563809359990991,1,0,0,0,0,1,0,0,0
2011,2011,CTM,5,Materials,3.3675540594647293,1,0,0,0,1,1,1,1,0
2011,2011,CTN,5,Industrials,4.2856898782253845,1,0,0,0,1,1,1,1,0
2011,2011,CYC,6,Materials,3.7364644575780113,1,0,1,0,1,0,1,1,1
2011,2011,D11,6,Consumer Discretionary,2.103821956008926,1,1,1,1,0,0,1,0,1
2011,2011,D2D,4,Real Estate,1.864907032015258,1,1,0,0,0,0,1,0,1
2011,2011,DBC,4,Consumer Staples,2.258407496608891,1,0,0,0,1,1,0,0,1
2011,2011,DCT,5,Materials,3.4838098623973632,1,1,0,0,1,0,1,1,0
2011,2011,DHG,3,Health Care,0.3785772720484052,1,1,0,0,0,0,0,0,1
2011,2011,DMC,6,Health Care,1.5459282983259035,1,1,0,1,1,0,0,1,1
2011,2011,DNY,3,Materials,0.9655497337292818,1,0,0,0,0,1,1,0,0
2011,2011,DPM,8,Materials,0.9153473171716132,1,1,1,0,1,1,1,1,1
2011,2011,DQC,6,Industrials,3.2098010089141544,1,1,0,1,1,1,1,0,0
2011,2011,DRH,3,Industrials,3.700372014979625,0,0,0,0,1,0,1,0,1
2011,2011,DTL,4,Materials,1.0570615877900913,1,1,0,1,0,0,1,0,0
2011,2011,DXG,3,Real Estate,1.7919194872008928,1,0,0,0,1,0,0,1,0
