,ID,Code,Name,CatID,Exchange,BeforeExchange,URL,CancelVolume,IndustryName,Title,FileUrl,NDKCCDate
0,2541,AAA,CTCP Nhựa An Phát Xanh,1,HOSE,HNX,https://finance.vietstock.vn/AAA-ctcp-nhua-an-phat-xanh.htm,51899988,Nguyên vật liệu,"AAA: Ngày 18/11/2016, ngày hủy niêm yết cổ phiếu của CTCP Nhựa và Môi trường xanh An Phát",http://static2.vietstock.vn/vietstock/2016/11/8/AAA_2016.11.8_30c89e9_1157_tb_2016_11_08_1054_1.PDF,2016-11-16 17:00:00
1,4522,AAV,CTCP AAV Group,5,UPCOM,HNX,https://finance.vietstock.vn/AAV-ctcp-aav-group.htm,68987661,Bất động sản,"AAV: Ngày 15/05/2026, về việc hủy bỏ niêm yết bắt buộc cổ phiếu AAV  của Công ty cổ phần AAV Group",https://static2.vietstock.vn/vietstock/2026/4/24/1_aav_2026_4_24_5b49670_1766tb_0001_2.pdf,2026-05-13 17:00:00
2,4473,ABR,CTCP Đầu tư Nhãn hiệu Việt,1,HOSE,UPCOM,https://finance.vietstock.vn/ABR-ctcp-dau-tu-nhan-hieu-viet.htm,20000000,Dịch vụ viễn thông,"ABR: Ngày 22/02/2022, ngày hủy ĐKGD cổ phiếu của CTCP Đầu tư Nhãn hiệu Việt",http://static2.vietstock.vn/vietstock/2022/2/15/1.ABR_2022.2.15_b555538_264tb_20220215_1.PDF,2022-02-20 17:00:00
3,2995,AC4,CTCP ACC-244,3,OTC,UPCOM,https://finance.vietstock.vn/AC4-ctcp-acc-244.htm,2940862,Hàng hóa công nghiệp,"AC4: Ngày 09/06/2021, ngày hủy ĐKGD cổ phiếu của CTCP ACC-244",http://static2.vietstock.vn/vietstock/2021/5/14/1.AC4_2021.5.14_fbb183e_1659tb_20210514_1.PDF,2021-06-07 17:00:00
4,885,ACB,Ngân hàng TMCP Á Châu,1,HOSE,HNX,https://finance.vietstock.vn/ACB-ngan-hang-tmcp-a-chau.htm,2161558460,Tổ chức tín dụng,"ACB: Ngày 02/12/2020, ngày hủy niêm yết cổ phiếu của Ngân hàng TMCP Á Châu",http://static2.vietstock.vn/vietstock/2020/11/27/1.ACB_2020.11.27_a0c8111_ACB_1270tb_20201126_1.PDF,2020-11-30 17:00:00
5,4793,ACG,CTCP Gỗ An Cường,1,HOSE,UPCOM,https://finance.vietstock.vn/ACG-ctcp-go-an-cuong.htm,135846122,Nguyên vật liệu,"ACG: Ngày 28/09/2022, ngày hủy ĐKGD cổ phiếu của CTCP Gỗ An Cường",https://static2.vietstock.vn/vietstock/2022/9/20/1_acg_2022_9_20_ee0d36a_acg_thong_bao_huy_dkgd.jpg,2022-09-26 17:00:00
6,4027,ACM,CTCP Tập đoàn Khoáng sản Á Cường,5,UPCOM,HNX,https://finance.vietstock.vn/ACM-ctcp-tap-doan-khoang-san-a-cuong.htm,51000000,Nguyên vật liệu,"ACM: Ngày 08/07/2022, ngày hủy niêm yết cổ phiếu của CTCP Tập đoàn Khoáng sản Á Cường",https://static2.vietstock.vn/vietstock/2022/6/15/1_acm_2022_6_15_7265b06_acm_2036tb_0001.pdf,2022-07-06 17:00:00
7,4779,ADG,CTCP Clever Group,1,HOSE,UPCOM,https://finance.vietstock.vn/ADG-ctcp-clever-group.htm,18000333,Truyền thông và giải trí,"ADG: Ngày 01/02/2021, ngày hủy ĐKGD cổ phiếu của CTCP Clever Group",https://owa.hnx.vn/ftp///cims/2021/1_W3/000000009992402_53tb_20210112_1.PDF,2021-01-28 17:00:00
8,2017,ADP,CTCP Sơn Á Đông,1,HOSE,UPCOM,https://finance.vietstock.vn/ADP-ctcp-son-a-dong.htm,23039850,Nguyên vật liệu,"ADP: Ngày 14/07/2023, ngày hủy ĐKGD cổ phiếu của CTCP Sơn Á Đông",https://static2.vietstock.vn/vietstock/2023/7/10/1_adp_2023_7_10_50a6a40_adp_tb_huy_dkgd.pdf,2023-07-12 17:00:00
9,4511,AFC,CTCP Nông Lâm nghiệp Bình Dương,3,OTC,UPCOM,https://finance.vietstock.vn/AFC-ctcp-nong-lam-nghiep-binh-duong.htm,10688363,Dịch vụ thương mại và chuyên nghiệp,"AFC: Ngày 27/05/2020, ngày hủy ĐKGD cổ phiếu của CTCP Nông Lâm Nghiệp Bình Dương",https://owa.hnx.vn/ftp///cims/2020/5_W2/000000009358118_398tb_20200506_1.PDF,2020-05-25 17:00:00
10,3218,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,1,HOSE,UPCOM,https://finance.vietstock.vn/AFX-ctcp-xuat-nhap-khau-nong-san-thuc-pham-an-giang.htm,35000000,"Thực phẩm, đồ uống và thuốc lá","AFX: Ngày 28/11/2025, ngày hủy ĐKGD cổ phiếu của CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang",https://static2.vietstock.vn/vietstock/2025/11/21/1_afx_2025_11_21_c99db23_afx.pdf,2025-11-26 17:00:00
11,1882,AGD,CTCP Gò Đàng,3,OTC,HOSE,https://finance.vietstock.vn/AGD-ctcp-go-dang.htm,11999930,"Thực phẩm, đồ uống và thuốc lá",AGD: Quyết định hủy niêm yết cổ phiếu,,2013-08-26 17:00:00
12,4664,AGE,CTCP Môi trường Đô thị An Giang,3,OTC,UPCOM,https://finance.vietstock.vn/AGE-ctcp-moi-truong-do-thi-an-giang.htm,19893000,Dịch vụ thương mại và chuyên nghiệp,"AGE: Ngày 22/09/2023, ngày hủy ĐKGD cổ phiếu của CTCP Môi trường Đô thị An Giang",https://static2.vietstock.vn/vietstock/2023/9/6/1_age_2023_9_6_21d0678_2953tb_20230905_1.PDF,2023-09-20 17:00:00
13,38,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,5,UPCOM,HOSE,https://finance.vietstock.vn/AGF-ctcp-xuat-nhap-khau-thuy-san-an-giang.htm,28109743,"Thực phẩm, đồ uống và thuốc lá",AGF: Quyết định về việc hủy niêm yết cổ phiếu,http://static2.vietstock.vn/vietstock/2020/1/17/20200117_20200116 - AGF - 5. QD huy niem yet.pdf,2020-02-13 17:00:00
14,1935,AGM,CTCP Xuất Nhập khẩu An Giang,5,UPCOM,HOSE,https://finance.vietstock.vn/AGM-ctcp-xuat-nhap-khau-an-giang.htm,18200000,"Thực phẩm, đồ uống và thuốc lá",AGM: Quyết định về việc hủy niêm yết cổ phiếu,https://static2.vietstock.vn/vietstock/2025/4/10/20250410_20250409___agm___qd_206_huy_niem_yet_bat_buoc.pdf,2025-05-07 17:00:00
15,1064,ALP,CTCP Đầu tư Alphanam,3,OTC,HOSE,https://finance.vietstock.vn/ALP-ctcp-dau-tu-alphanam.htm,192484413,Hàng hóa công nghiệp,ALP: Quyết định hủy niêm yết cổ phiếu,,2014-12-29 17:00:00
16,778,ALT,CTCP Văn hóa Tân Bình,2,HNX,HOSE,https://finance.vietstock.vn/ALT-ctcp-van-hoa-tan-binh.htm,4933905,Nguyên vật liệu,,,2009-07-09 17:00:00
17,2657,ALV,CTCP Tập đoàn MCST,5,UPCOM,HNX,https://finance.vietstock.vn/ALV-ctcp-tap-doan-mcst.htm,3157936,Hàng hóa công nghiệp,"ALV: Ngày 14/06/2019, ngày hủy niêm yết cổ phiếu của CTCP Đầu tư Phát triển hạ tầng ALV",http://static2.vietstock.vn/vietstock/2019/5/21/1.ALV_2019.5.21_30e1f60_527tb_20190517_1.PDF,2019-06-12 17:00:00
18,3728,AMD,CTCP Đầu tư và Khoáng sản FLC Stone,3,OTC,UPCOM,https://finance.vietstock.vn/AMD-ctcp-dau-tu-va-khoang-san-flc-stone.htm,30000000,Hàng hóa công nghiệp,"AMD: Ngày 10/06/2015, ngày hủy ĐKGD cổ phiếu của CTCP Đầu tư AMD Group",http://hnx.vn/web/guest/tin-upcom?p_auth=lfF4qY2P&p_p_id=ThongTinCongBo_WAR_ThongTinCongBoportlet_INSTANCE_T0Pq&p_p_lifecycle=1&p_p_state=exclusive&p_p_mode=view&_ThongTinCongBo_WAR_ThongTinCongBoportlet_INSTANCE_T0Pq_anchor=viewAction&_ThongTinCongBo_WAR_ThongTinCongBoportlet_INSTANCE_T0Pq_cmd=dlAction&_ThongTinCongBo_WAR_ThongTinCongBoportlet_INSTANCE_T0Pq_dl_link=%2Fcims%2F2015_6_W1%2F000000005522224_AMD.jpg&_ThongTinCongBo_WAR_ThongTinCongBoportlet_INSTANCE_T0Pq_dl_name=AMD_2015.6.1_2406dd9_AMD.jpg,2015-06-08 17:00:00
19,3215,ANT,CTCP Rau quả Thực phẩm An Giang,1,HOSE,UPCOM,https://finance.vietstock.vn/ANT-ctcp-rau-qua-thuc-pham-an-giang.htm,24003708,"Thực phẩm, đồ uống và thuốc lá","ANT: Ngày 13/01/2026, ngày hủy ĐKGD cổ phiếu của CTCP Rau quả Thực phẩm An Giang",https://static2.vietstock.vn/vietstock/2026/1/8/1_ant_2026_1_7_dccf3b6_ant_tb.pdf,2026-01-11 17:00:00
20,1896,APC,CTCP Chiếu xạ An Phú,5,UPCOM,HOSE,https://finance.vietstock.vn/APC-ctcp-chieu-xa-an-phu.htm,20121395,Dịch vụ thương mại và chuyên nghiệp,APC: Quyết định về việc hủy niêm yết cổ phiếu,https://static2.vietstock.vn/vietstock/2024/4/1/20240401_20240329___apc___qd_huy_niem_yet_bat_buoc.pdf,2024-04-25 17:00:00
21,1201,APG,CTCP Chứng khoán APG,1,HOSE,HNX,https://finance.vietstock.vn/APG-ctcp-chung-khoan-apg.htm,13528900,Dịch vụ tài chính,"APG: Ngày 23/11/2016, ngày hủy niêm yết cổ phiếu của Công ty Cổ phần Chứng khoán An Phát",http://static2.vietstock.vn/vietstock/2016/11/21/APG_2016.11.21_ff7018d_1206_tb_2016_11_21_0923_1.PDF,2016-11-21 17:00:00
22,2670,APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ,5,UPCOM,HNX,https://finance.vietstock.vn/APP-ctcp-phat-trien-phu-gia-va-san-pham-dau-mo.htm,4724632,Năng lượng,"APP: Ngày 18/07/2022, ngày hủy niêm yết cổ phiếu của CTCP Phát triển phụ gia và sản phầm dầu mỏ",https://static2.vietstock.vn/vietstock/2022/7/6/1_app_2022_7_6_7cdef1a_app_huy.jpg,2022-07-14 17:00:00
23,4732,AQN,CTCP 28 Quảng Ngãi,3,OTC,UPCOM,https://finance.vietstock.vn/AQN-ctcp-28-quang-ngai.htm,1511097,Thời trang và hàng lâu bền,"AQN: Ngày 02/07/2021, ngày hủy ĐKGD cổ phiếu của CTCP 28 Quảng Ngãi",http://static2.vietstock.vn/vietstock/2021/6/11/1.AQN_2021.6.11_afba3b5_2071tb_20210610_1.PDF,2021-06-30 17:00:00
24,1321,ART,CTCP Chứng khoán ARTEX,5,UPCOM,UPCOM,https://finance.vietstock.vn/ART-ctcp-chung-khoan-artex.htm,37259983,Dịch vụ tài chính,"ART: Ngày 24/09/2018, ngày hủy ĐKGD cổ phiếu của Công ty Cổ phần phần Chứng khoán Artex",https://owa.hnx.vn/ftp///cims/2018/9_W4/000000007854494_1109TB_20180920_1.PDF,2018-09-20 17:00:00
25,3021,ASA,CTCP ASA,3,OTC,HNX,https://finance.vietstock.vn/ASA-ctcp-asa.htm,10000000,Thương mại hàng thiết yếu,"ASA: Ngày 13/06/2019, ngày hủy niêm yết cổ phiếu của CTCP Hàng tiêu dùng ASA",http://static2.vietstock.vn/vietstock/2019/5/16/1.ASA_2019.5.16_295bf5f_ASA.JPG,2019-06-11 17:00:00
26,3762,ASD,CTCP Sông Đà Hà Nội,3,OTC,UPCOM,https://finance.vietstock.vn/ASD-ctcp-song-da-ha-noi.htm,4500000,Hàng hóa công nghiệp,"ASD: Ngày 04/06/2021, ngày hủy ĐKGD cổ phiếu của CTCP Sông Đà Hà Nội",http://static2.vietstock.vn/vietstock/2021/5/13/1.ASD_2021.5.13_7ee8f82_Huy_ASD.jpg,2021-06-02 17:00:00
27,3055,ASIAGF,Quỹ đầu tư Tăng trưởng ACB,4,Khác,HOSE,https://finance.vietstock.vn/ASIAGF-quy-dau-tu-tang-truong-acb.htm,24008000,Dịch vụ tài chính,ASIAGF: Hủy niêm yết đối với Chứng chỉ quỹ ,,2014-12-29 17:00:00
28,1817,ATA,CTCP Ntaco,5,UPCOM,HOSE,https://finance.vietstock.vn/ATA-ctcp-ntaco.htm,11999998,"Thực phẩm, đồ uống và thuốc lá",ATA: Quyết định hủy niêm yết cổ phiếu,http://static2.vietstock.vn/vietstock/2017/1/9/20170109_20170106 - ATA - QD huy NY.pdf,2017-02-02 17:00:00
29,4543,ATB,CTCP An Thịnh,3,OTC,UPCOM,https://finance.vietstock.vn/ATB-ctcp-an-thinh.htm,13884000,Hàng hóa công nghiệp,"ATB: Ngày 07/01/2026, ngày hủy ĐKGD cổ phiếu của CTCP An Thịnh",https://static2.vietstock.vn/vietstock/2025/12/29/1_atb_2025_12_29_ba71b4e_atb_3.pdf,2026-01-05 17:00:00
