,ID,CatID,Exchange,IndustryName1,IndustryName2,IndustryName3,Code,Name,TotalShares,URL,FirstTradeDate
0,4712,5,UPCoM,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,A32,CTCP 32,6800000,https://finance.vietstock.vn/A32-ctcp-32.htm,2018-10-22 17:00:00
1,2541,1,HOSE,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,AAA,CTCP Nhựa An Phát Xanh,393742730,https://finance.vietstock.vn/AAA-ctcp-nhua-an-phat-xanh.htm,2016-11-24 17:00:00
2,5601,5,UPCoM,Năng lượng,Năng lượng,Dầu khí,AAH,CTCP Hợp Nhất,117900000,https://finance.vietstock.vn/AAH-ctcp-hop-nhat.htm,2024-01-10 17:00:00
3,1813,1,HOSE,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,AAM,CTCP Thủy sản MeKong,12346411,https://finance.vietstock.vn/AAM-ctcp-thuy-san-mekong.htm,2009-09-23 17:00:00
4,5816,1,HOSE,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,AAN,CTCP Lương thực A An,91649951,https://finance.vietstock.vn/AAN-ctcp-luong-thuc-a-an.htm,2026-05-21 17:00:00
5,1339,5,UPCoM,Tài chính,Dịch vụ tài chính,Thị trường vốn,AAS,CTCP Chứng khoán SmartInvest ,229999521,https://finance.vietstock.vn/AAS-ctcp-chung-khoan-smartinvest.htm,2020-07-22 17:00:00
6,3905,1,HOSE,Tiêu dùng không thiết yếu,Thời trang và hàng lâu bền,Thời trang và dệt may,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa ,70819103,https://finance.vietstock.vn/AAT-ctcp-tap-doan-tien-son-thanh-hoa.htm,2021-03-23 17:00:00
7,4522,5,UPCoM,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,AAV,CTCP AAV Group,68987661,https://finance.vietstock.vn/AAV-ctcp-aav-group.htm,2026-05-25 17:00:00
8,1196,5,UPCoM,Tài chính,Tổ chức tín dụng,Ngân hàng,ABB,Ngân hàng TMCP An Bình,1397208685,https://finance.vietstock.vn/ABB-ngan-hang-tmcp-an-binh.htm,2020-12-27 17:00:00
9,2920,5,UPCoM,Dịch vụ truyền thông,Dịch vụ viễn thông,Dịch vụ viễn thông đa dạng,ABC,CTCP Truyền thông VMG,20393000,https://finance.vietstock.vn/ABC-ctcp-truyen-thong-vmg.htm,2016-08-17 17:00:00
10,1786,5,UPCoM,Tài chính,Bảo hiểm,Bảo hiểm,ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,101347632,https://finance.vietstock.vn/ABI-ctcp-bao-hiem-ngan-hang-nong-nghiep-viet-nam.htm,2009-07-15 17:00:00
11,4473,1,HOSE,Dịch vụ truyền thông,Dịch vụ viễn thông,Dịch vụ viễn thông đa dạng,ABR,CTCP Đầu tư Nhãn hiệu Việt,20000000,https://finance.vietstock.vn/ABR-ctcp-dau-tu-nhan-hieu-viet.htm,2022-03-02 17:00:00
12,4784,1,HOSE,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,80000000,https://finance.vietstock.vn/ABS-ctcp-dich-vu-nong-nghiep-binh-thuan.htm,2020-03-17 17:00:00
13,783,1,HOSE,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,14387207,https://finance.vietstock.vn/ABT-ctcp-xuat-nhap-khau-thuy-san-ben-tre.htm,2006-12-24 17:00:00
14,1318,5,UPCoM,Tài chính,Dịch vụ tài chính,Thị trường vốn,ABW,CTCP Chứng khoán An Bình,301150000,https://finance.vietstock.vn/ABW-ctcp-chung-khoan-an-binh.htm,2023-05-29 17:00:00
15,885,1,HOSE,Tài chính,Tổ chức tín dụng,Ngân hàng,ACB,Ngân hàng TMCP Á Châu,5804421957,https://finance.vietstock.vn/ACB-ngan-hang-tmcp-a-chau.htm,2020-12-08 17:00:00
16,2041,1,HOSE,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,104999993,https://finance.vietstock.vn/ACC-ctcp-dau-tu-va-xay-dung-binh-duong-acc.htm,2011-06-29 17:00:00
17,1525,5,UPCoM,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,ACE,CTCP Bê tông Ly tâm An Giang,3050781,https://finance.vietstock.vn/ACE-ctcp-be-tong-ly-tam-an-giang.htm,2009-11-09 17:00:00
18,4793,1,HOSE,Nguyên vật liệu,Nguyên vật liệu,Gỗ và giấy,ACG,CTCP Gỗ An Cường,150787946,https://finance.vietstock.vn/ACG-ctcp-go-an-cuong.htm,2022-10-09 17:00:00
19,936,1,HOSE,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,50159019,https://finance.vietstock.vn/ACL-ctcp-xuat-nhap-khau-thuy-san-cuu-long-an-giang.htm,2007-09-04 17:00:00
20,4027,5,UPCoM,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,ACM,CTCP Tập đoàn Khoáng sản Á Cường,51000000,https://finance.vietstock.vn/ACM-ctcp-tap-doan-khoang-san-a-cuong.htm,2022-07-18 17:00:00
21,1997,5,UPCoM,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,ACS,CTCP Xây lắp Thương mại 2,5400000,https://finance.vietstock.vn/ACS-ctcp-xay-lap-thuong-mai-2.htm,2017-07-12 17:00:00
