market,k,N,D,D_random_mean,p_value,significant_5pct
us,20,1000,-0.1006,-0.0563,0.5967,False
us,20,2000,-0.1006,-0.0563,0.5967,False
us,20,5000,-0.1006,-0.0563,0.5967,False
us,25,1000,-0.0712,-0.0615,0.5333,False
us,25,2000,-0.0712,-0.0615,0.5333,False
us,25,5000,-0.0712,-0.0615,0.5333,False
us,30,1000,-0.0875,-0.0633,0.59,False
us,30,2000,-0.0875,-0.0633,0.59,False
us,30,5000,-0.0875,-0.0633,0.59,False
japan,20,1000,-0.2135,0.0195,0.98,False
japan,20,2000,-0.2135,0.0195,0.98,False
japan,20,5000,-0.2135,0.0195,0.98,False
japan,25,1000,-0.1652,0.0293,0.9467,False
japan,25,2000,-0.1652,0.0293,0.9467,False
japan,25,5000,-0.1652,0.0293,0.9467,False
japan,30,1000,-0.0502,0.0561,0.8533,False
japan,30,2000,-0.0502,0.0561,0.8533,False
japan,30,5000,-0.0502,0.0561,0.8533,False
vietnam,20,1000,0.227,0.2289,0.5,False
vietnam,20,2000,0.227,0.2289,0.5,False
vietnam,20,5000,0.227,0.2289,0.5,False
vietnam,25,1000,0.4513,0.2595,0.14,False
vietnam,25,2000,0.4513,0.2595,0.14,False
vietnam,25,5000,0.4513,0.2595,0.14,False
vietnam,30,1000,0.4178,0.2934,0.2533,False
vietnam,30,2000,0.4178,0.2934,0.2533,False
vietnam,30,5000,0.4178,0.2934,0.2533,False
