score_year,firms,cash_line_available,signal_flips,mean_fscore_cash,mean_fscore_share,flip_rate
2011,261,183,109,5.586206896551724,5.980842911877395,0.41762452107279696
2012,275,186,95,5.56,5.8545454545454545,0.34545454545454546
2013,276,191,104,5.721014492753623,6.083333333333333,0.37681159420289856
2014,286,190,116,5.783216783216783,6.146853146853147,0.40559440559440557
2015,294,197,129,5.224489795918367,5.58843537414966,0.4387755102040816
2016,298,192,104,5.466442953020135,5.761744966442953,0.348993288590604
2017,313,210,118,5.603833865814696,5.9297124600638975,0.3769968051118211
2018,303,196,128,5.917491749174918,6.254125412541254,0.42244224422442245
2019,323,207,133,5.3808049535603715,5.674922600619195,0.4117647058823529
2020,326,200,95,5.217791411042945,5.441717791411043,0.29141104294478526
2021,329,206,126,6.112462006079028,6.361702127659575,0.3829787234042553
2022,330,199,139,5.4393939393939394,5.781818181818182,0.4212121212121212
2023,334,190,124,5.661676646706587,5.979041916167665,0.3712574850299401
2024,336,183,117,5.645833333333333,5.958333333333333,0.3482142857142857
