year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,tie_break_slots,overlap_random_vs_fscore,overlap_expected,cov_est_days,cov_min_est_days,delisted_in_holding_year,no_price_after_formation,long_short_run,short_leg_max_fscore
2012,78,3,0,30,True,78,22,6.769230769230769,7.0,8,0.3873,0.38461538461538464,733,366,0,0,True,7.0
2013,70,2,0,30,True,70,6,5.628571428571429,6.0,11,0.4304,0.42857142857142855,734,367,0,0,True,5.0
2014,72,2,0,30,True,72,12,5.972222222222222,7.0,18,0.42136666666666667,0.4166666666666667,736,368,0,0,True,5.0
2015,79,2,0,30,True,79,14,6.430379746835443,7.0,16,0.3764333333333333,0.379746835443038,735,367,0,0,True,6.0
2016,77,2,0,30,True,77,15,6.259740259740259,7.0,15,0.39136666666666664,0.38961038961038963,734,367,0,0,True,6.0
2017,79,2,0,30,True,79,10,5.949367088607595,6.0,2,0.37929999999999997,0.379746835443038,735,367,0,0,True,5.0
2018,82,1,0,30,True,82,18,6.475609756097561,7.0,12,0.36743333333333333,0.36585365853658536,750,375,0,0,True,6.0
2019,81,1,0,30,True,81,15,6.395061728395062,7.0,15,0.3731333333333334,0.37037037037037035,753,376,0,0,True,6.0
2020,79,0,0,30,True,79,4,5.6835443037974684,6.0,10,0.3799,0.379746835443038,751,375,0,0,True,5.0
2021,77,0,0,30,True,77,2,5.0519480519480515,5.0,5,0.38839999999999997,0.38961038961038963,735,367,0,0,True,5.0
2022,79,0,7,30,False,7,4,5.3924050632911396,6.0,10,0.3793666666666667,0.379746835443038,730,365,0,0,True,5.0
2023,82,0,77,30,False,30,18,6.451219512195122,7.0,12,0.3655666666666667,0.36585365853658536,733,366,0,0,True,6.0
2024,79,0,76,30,False,30,13,6.050632911392405,6.0,2,0.3803,0.379746835443038,733,366,0,0,True,6.0
2025,79,0,76,30,False,30,17,6.253164556962025,7.0,13,0.3781666666666667,0.379746835443038,733,366,0,0,True,6.0
