year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,tie_break_slots,overlap_random_vs_fscore,overlap_expected,cov_est_days,cov_min_est_days,delisted_in_holding_year,no_price_after_formation,long_short_run,short_leg_max_fscore
2012,69,3,57,20,False,20,10,6.101449275362318,7.0,10,0.29264999999999997,0.2898550724637681,756,378,0,0,True,5.0
2013,63,3,54,20,False,20,3,5.492063492063492,6.0,6,0.31775000000000003,0.31746031746031744,753,376,0,0,True,5.0
2014,63,2,55,20,False,20,11,6.0476190476190474,7.0,9,0.3189,0.31746031746031744,752,376,0,0,True,5.0
2015,68,2,61,20,False,20,7,5.794117647058823,7.0,13,0.29095,0.29411764705882354,753,376,0,0,True,5.0
2016,66,2,60,20,False,20,9,5.848484848484849,7.0,11,0.30779999999999996,0.30303030303030304,756,378,0,0,True,5.0
2017,66,2,59,20,False,20,11,5.757575757575758,6.0,1,0.30884999999999996,0.30303030303030304,756,378,1,0,True,5.0
2018,67,4,61,20,False,20,8,5.955223880597015,7.0,12,0.2969,0.29850746268656714,755,377,0,1,True,5.0
2019,69,4,65,20,False,20,18,6.405797101449275,7.0,2,0.29085,0.2898550724637681,752,376,0,0,True,5.0
2020,70,2,66,20,False,20,9,5.671428571428572,6.0,2,0.29009999999999997,0.2857142857142857,754,377,0,0,True,5.0
2021,71,0,67,20,False,20,5,5.394366197183099,6.0,6,0.27895,0.28169014084507044,755,377,0,0,True,5.0
2022,72,0,68,20,False,20,17,6.611111111111111,7.0,3,0.27805,0.2777777777777778,756,378,0,0,True,6.0
2023,72,0,68,20,False,20,12,6.055555555555555,7.0,8,0.2762,0.2777777777777778,754,377,0,0,True,5.0
2024,75,0,71,20,False,20,15,6.066666666666666,7.0,5,0.27,0.26666666666666666,752,376,0,0,True,5.0
2025,75,0,71,20,False,20,16,6.12,7.0,4,0.27,0.26666666666666666,750,375,0,0,True,5.0
