year,universe,dropped_no_price,bm_coverage,k,value_fallback,value_basket_size,n_fscore_high,fscore_mean,fscore_basket_min,overlap_random_vs_fscore,overlap_expected
2003,45,11,0,25,True,45,2,5.222222222222222,5.0,0.55436,0.5555555555555556
2004,50,11,0,25,True,50,10,6.4,6.0,0.50168,0.5
2005,52,11,0,25,True,52,15,6.5576923076923075,7.0,0.48068,0.4807692307692308
2006,54,8,0,25,True,54,10,6.111111111111111,6.0,0.46116,0.46296296296296297
2007,48,6,0,25,True,48,10,6.479166666666667,7.0,0.52258,0.5208333333333334
2008,50,4,0,25,True,50,5,6.18,6.0,0.49966,0.5
2009,51,3,34,25,False,25,8,5.921568627450981,6.0,0.48754,0.49019607843137253
2010,53,3,43,25,False,25,4,5.754716981132075,6.0,0.47034,0.4716981132075472
2011,65,3,52,25,False,25,18,6.507692307692308,7.0,0.3835,0.38461538461538464
2012,69,3,57,25,False,25,10,6.101449275362318,6.0,0.35934,0.36231884057971014
2013,63,3,54,25,False,25,3,5.492063492063492,6.0,0.39694,0.3968253968253968
2014,63,2,55,25,False,25,11,6.0476190476190474,7.0,0.39582,0.3968253968253968
2015,68,2,61,25,False,25,7,5.794117647058823,6.0,0.37066000000000004,0.36764705882352944
2016,66,2,60,25,False,25,9,5.848484848484849,6.0,0.38006,0.3787878787878788
2017,66,2,59,25,False,25,11,5.757575757575758,6.0,0.38186,0.3787878787878788
2018,66,5,61,25,False,25,8,5.96969696969697,6.0,0.37944,0.3787878787878788
2019,69,4,65,25,False,25,18,6.405797101449275,7.0,0.36502,0.36231884057971014
2020,70,2,66,25,False,25,9,5.671428571428572,6.0,0.36038,0.35714285714285715
2021,71,0,67,25,False,25,5,5.394366197183099,6.0,0.35142,0.352112676056338
2022,72,0,68,25,False,25,17,6.611111111111111,7.0,0.34753999999999996,0.3472222222222222
2023,72,0,68,25,False,25,12,6.055555555555555,6.0,0.3447,0.3472222222222222
2024,75,0,71,25,False,25,15,6.066666666666666,7.0,0.33454,0.3333333333333333
2025,75,0,71,25,False,25,16,6.12,7.0,0.33342,0.3333333333333333
