mkt,k,N,EW,uniEW,value,to_EW,effN_GMV,pct,p,sig,D,D_p
us,20,1000,0.7345,0.8574,0.7794,0.7239,5.6666,0.162,0.838,False,-0.2163,0.4
us,20,2000,0.7345,0.8574,0.7794,0.7239,5.6666,0.1615,0.8385,False,-0.2163,0.4
us,20,5000,0.7345,0.8574,0.7794,0.7239,5.6666,0.162,0.838,False,-0.2163,0.4
us,25,1000,0.7631,0.8574,0.8208,0.6865,6.5865,0.218,0.782,False,-0.1972,0.2833
us,25,2000,0.7631,0.8574,0.8208,0.6865,6.5865,0.2075,0.7925,False,-0.1972,0.2833
us,25,5000,0.7631,0.8574,0.8208,0.6865,6.5865,0.19,0.81,False,-0.1972,0.2833
us,30,1000,0.81,0.8574,0.827,0.6176,7.4886,0.356,0.644,False,-0.1776,0.1967
us,30,2000,0.81,0.8574,0.827,0.6176,7.4886,0.3585,0.6415,False,-0.1776,0.1967
us,30,5000,0.81,0.8574,0.827,0.6176,7.4886,0.3566,0.6434,False,-0.1776,0.1967
japan,20,1000,0.7417,0.72,0.6904,0.752,4.7338,0.73,0.27,False,-0.2025,0.99
japan,20,2000,0.7417,0.72,0.6904,0.752,4.7338,0.745,0.255,False,-0.2025,0.99
japan,20,5000,0.7417,0.72,0.6904,0.752,4.7338,0.7432,0.2568,False,-0.2025,0.99
japan,25,1000,0.7057,0.72,0.7209,0.7118,5.313,0.538,0.462,False,-0.0862,0.86
japan,25,2000,0.7057,0.72,0.7209,0.7118,5.313,0.521,0.479,False,-0.0862,0.86
japan,25,5000,0.7057,0.72,0.7209,0.7118,5.313,0.5278,0.4722,False,-0.0862,0.86
japan,30,1000,0.7008,0.72,0.7181,0.6691,5.6979,0.475,0.525,False,0.0147,0.7033
japan,30,2000,0.7008,0.72,0.7181,0.6691,5.6979,0.458,0.542,False,0.0147,0.7033
japan,30,5000,0.7008,0.72,0.7181,0.6691,5.6979,0.4634,0.5366,False,0.0147,0.7033
