mkt,k,N,EW,uniEW,LS,pct,p,sig,D,D_p
us,20,1000,0.7003,0.8511,-0.314,0.086,0.914,False,-0.1877,0.3833
us,20,2000,0.7003,0.8511,-0.314,0.0905,0.9095,False,-0.1877,0.3833
us,20,5000,0.7003,0.8511,-0.314,0.0898,0.9102,False,-0.1877,0.3833
us,25,1000,0.7447,0.8511,-0.3507,0.163,0.837,False,-0.166,0.23
us,25,2000,0.7447,0.8511,-0.3507,0.153,0.847,False,-0.166,0.23
us,25,5000,0.7447,0.8511,-0.3507,0.1428,0.8572,False,-0.166,0.23
us,30,1000,0.7969,0.8511,-0.2917,0.311,0.689,False,-0.1554,0.1633
us,30,2000,0.7969,0.8511,-0.2917,0.311,0.689,False,-0.1554,0.1633
us,30,5000,0.7969,0.8511,-0.2917,0.3152,0.6848,False,-0.1554,0.1633
japan,20,1000,0.8219,0.7997,0.2333,0.735,0.265,False,-0.2373,0.99
japan,20,2000,0.8219,0.7997,0.2333,0.758,0.242,False,-0.2373,0.99
japan,20,5000,0.8219,0.7997,0.2333,0.7582,0.2418,False,-0.2373,0.99
japan,25,1000,0.7765,0.7997,0.1006,0.504,0.496,False,-0.1331,0.8667
japan,25,2000,0.7765,0.7997,0.1006,0.483,0.517,False,-0.1331,0.8667
japan,25,5000,0.7765,0.7997,0.1006,0.4886,0.5114,False,-0.1331,0.8667
japan,30,1000,0.7707,0.7997,0.0316,0.388,0.612,False,-0.0302,0.7
japan,30,2000,0.7707,0.7997,0.0316,0.3795,0.6205,False,-0.0302,0.7
japan,30,5000,0.7707,0.7997,0.0316,0.3988,0.6012,False,-0.0302,0.7
