universe_year,names,Net_Income,Sales_Revenue,Total_Assets,Long_Term_Debt,Current_Assets,Current_Liabilities,Operating_Cash_Flow,Shares_Outstanding,Common_Shareholders_Equity,Proceeds_Issuance_Common_Stock,Gross_Profit,Book_Value,Historical_Market_Cap
2005,96,0.969,0.969,0.958,0.948,0.781,0.781,0.958,0.948,0.958,0.0,0.74,0.0,0.0
2006,100,1.0,1.0,1.0,0.99,0.81,0.81,0.99,0.98,1.0,0.0,0.78,0.0,0.0
2007,100,1.0,1.0,1.0,1.0,0.84,0.84,1.0,1.0,1.0,0.0,0.81,0.0,0.0
2008,100,0.99,0.99,0.98,0.98,0.85,0.85,0.98,0.98,0.98,0.0,0.83,0.0,0.0
2009,100,1.0,1.0,1.0,1.0,0.87,0.87,1.0,1.0,1.0,0.0,0.85,0.0,0.0
2010,100,0.99,0.99,0.99,0.99,0.85,0.85,0.99,0.99,0.99,0.0,0.83,0.0,0.0
2011,100,1.0,1.0,1.0,1.0,0.86,0.86,1.0,1.0,1.0,0.0,0.84,0.0,0.0
2012,100,1.0,1.0,1.0,1.0,0.86,0.86,1.0,1.0,1.0,0.0,0.84,0.0,0.0
2013,100,1.0,1.0,1.0,1.0,0.86,0.86,1.0,1.0,1.0,0.0,0.84,0.0,0.0
2014,100,1.0,1.0,1.0,1.0,0.86,0.86,1.0,1.0,1.0,0.0,0.84,0.0,0.0
2015,100,1.0,1.0,1.0,1.0,0.86,0.86,1.0,1.0,1.0,0.0,0.84,0.0,0.0
2016,100,0.99,0.99,0.99,0.99,0.86,0.86,0.99,0.99,0.99,0.0,0.84,0.0,0.0
2017,100,1.0,1.0,1.0,1.0,0.87,0.87,1.0,1.0,1.0,0.0,0.85,0.0,0.0
2018,100,1.0,1.0,1.0,1.0,0.87,0.87,1.0,1.0,1.0,0.0,0.86,0.0,0.0
2019,100,1.0,1.0,1.0,1.0,0.88,0.88,1.0,1.0,1.0,0.0,0.85,0.0,0.0
2020,99,1.0,1.0,1.0,1.0,0.879,0.879,1.0,1.0,1.0,0.0,0.848,0.0,0.0
2021,100,1.0,1.0,1.0,1.0,0.88,0.88,1.0,1.0,1.0,0.0,0.86,0.0,0.0
2022,100,1.0,1.0,1.0,1.0,0.89,0.89,1.0,1.0,1.0,0.0,0.87,0.0,0.0
2023,99,0.99,0.99,1.0,1.0,0.889,0.889,0.99,1.0,1.0,0.0,0.859,0.0,0.0
2024,100,1.0,1.0,1.0,1.0,0.88,0.88,1.0,1.0,1.0,0.0,0.86,0.0,0.0
