formation_year,index,ticker,roa_pos,cfo_pos,delta_roa_pos,accruals_ok,delta_leverage_down,delta_liquidity_up,no_issuance,delta_margin_up,delta_turnover_up,fscore
2012,0,1605.T,1,1,1,1,1,0,0,0,0,5
2012,1,1925.T,1,1,1,1,1,0,1,1,0,7
2012,2,1928.T,1,1,1,1,0,1,1,1,1,8
2012,3,2503.T,1,1,0,1,0,0,1,1,1,6
2012,4,2914.T,1,1,1,1,1,1,1,0,1,8
2012,5,3382.T,1,1,1,1,0,0,1,0,1,6
2012,6,3402.T,1,1,1,1,1,1,0,1,1,8
2012,7,3407.T,1,1,1,1,1,1,1,1,1,9
2012,8,4005.T,1,1,1,1,0,1,1,1,1,8
2012,9,4063.T,1,1,1,1,1,0,1,1,1,8
2012,10,4188.T,1,1,1,1,1,1,0,1,1,8
2012,11,4452.T,1,1,1,1,1,0,1,0,1,7
2012,12,4502.T,1,1,0,1,0,0,1,0,0,4
2012,13,4503.T,1,1,0,1,0,0,0,0,0,3
2012,14,4523.T,1,1,1,1,1,1,0,0,0,6
2012,15,4568.T,1,1,1,1,1,0,1,1,1,8
2012,16,4901.T,1,1,1,1,1,1,1,1,1,9
2012,17,4911.T,1,1,0,1,0,1,0,0,0,4
2012,18,5108.T,1,1,1,1,0,1,1,0,1,7
2012,19,5201.T,1,1,0,1,1,0,1,0,0,5
2012,20,5401.T,1,1,1,1,1,1,1,1,1,9
2012,21,5405.T,0,1,1,1,1,0,1,1,1,7
2012,22,5406.T,1,1,1,1,1,0,1,1,1,8
2012,23,5411.T,1,1,1,1,1,0,0,1,1,7
2012,24,5713.T,1,1,1,1,1,1,1,1,1,9
2012,25,5802.T,1,1,1,1,0,1,1,1,1,8
2012,26,6273.T,1,1,1,1,0,0,1,1,1,7
2012,27,6301.T,1,1,1,0,1,0,1,1,1,7
2012,28,6326.T,1,1,1,1,1,0,1,1,0,7
2012,29,6367.T,1,1,1,1,1,1,0,0,1,7
2012,30,6501.T,1,1,1,1,1,0,0,1,1,7
2012,31,6502.T,1,1,1,1,1,1,1,1,1,9
2012,32,6503.T,1,1,1,1,1,0,0,1,1,7
2012,33,6594.T,1,1,1,1,0,1,1,1,1,8
2012,34,6701.T,0,1,0,1,1,0,1,0,0,4
2012,35,6702.T,1,1,0,1,1,0,0,1,0,5
2012,36,6752.T,1,1,1,1,0,0,1,0,0,5
2012,37,6753.T,1,1,1,1,0,1,1,0,1,7
2012,38,6758.T,0,1,0,1,1,0,0,1,0,4
2012,39,6762.T,1,1,1,1,1,0,0,1,1,7
2012,40,6861.T,1,1,1,0,0,0,1,0,1,5
2012,41,6902.T,1,1,1,1,1,1,1,1,0,8
2012,42,6954.T,1,1,1,1,0,0,1,1,1,7
2012,43,6963.T,1,1,1,1,1,1,1,1,1,9
2012,44,6971.T,1,1,1,0,1,1,1,1,1,8
2012,45,6981.T,1,1,1,1,0,0,0,1,1,6
2012,46,6988.T,1,1,1,1,1,1,1,1,0,8
2012,47,7011.T,1,1,1,1,1,0,1,1,1,8
2012,48,7201.T,1,1,1,1,1,1,0,1,1,8
2012,49,7203.T,1,1,1,1,1,0,1,1,0,7
2012,50,7267.T,1,1,1,1,1,0,1,1,1,8
2012,51,7269.T,1,1,1,1,1,1,0,1,0,7
2012,52,7731.T,1,1,1,1,0,1,0,1,1,7
2012,53,7741.T,1,1,1,1,1,1,0,1,0,7
2012,54,7751.T,1,1,0,1,0,1,1,1,0,6
2012,55,7752.T,1,1,0,1,1,1,1,0,1,7
2012,56,7912.T,1,1,1,1,0,1,1,1,0,7
2012,57,7974.T,1,1,0,1,1,1,1,0,0,6
2012,58,8001.T,1,1,1,1,1,1,0,0,1,7
2012,59,8002.T,1,1,1,1,1,0,1,0,1,7
2012,60,8031.T,1,1,1,1,1,0,0,1,1,7
2012,61,8035.T,1,1,1,1,0,0,0,1,1,6
2012,62,8053.T,1,1,1,1,0,1,0,1,1,7
2012,63,8058.T,1,1,1,0,1,1,0,0,1,6
2012,64,8267.T,1,1,1,1,1,0,0,0,0,5
2012,65,8801.T,1,1,0,1,0,0,1,0,1,5
2012,66,8802.T,1,1,1,1,0,1,1,1,0,7
2012,67,8830.T,1,1,0,0,1,1,1,1,0,6
2012,68,9020.T,1,1,0,1,1,0,1,0,0,5
2012,69,9021.T,1,1,1,1,0,1,1,0,0,6
2012,70,9022.T,1,1,1,1,1,1,1,1,1,9
2012,71,9202.T,1,1,1,1,1,1,0,1,1,8
2012,72,9432.T,1,1,1,1,0,1,1,0,1,7
2012,73,9433.T,1,1,1,1,1,1,1,0,0,7
2012,74,9437.T,1,1,0,1,1,1,1,0,0,6
2012,75,9502.T,1,1,0,1,0,0,1,0,1,5
2012,76,9503.T,1,1,0,1,1,0,1,0,1,6
2012,77,9506.T,0,1,0,1,1,1,1,0,1,6
2012,78,9508.T,1,1,0,1,1,1,1,0,1,7
2012,79,9735.T,1,1,1,1,0,1,1,0,1,7
2012,80,9831.T,1,1,1,1,1,1,1,0,0,7
2012,81,9983.T,1,1,0,1,0,1,0,1,0,5
2012,82,9984.T,1,1,1,1,1,0,0,1,1,7
2012,83,1878.T,1,1,0,1,0,0,1,1,1,6
2012,84,1963.T,1,1,0,1,1,0,1,1,1,7
2012,85,2502.T,1,1,1,1,1,0,0,1,0,6
2012,86,2802.T,1,1,1,1,1,1,1,1,1,9
2012,87,4661.T,1,1,0,1,1,0,1,1,0,6
2012,88,7202.T,1,1,1,1,1,1,1,1,1,9
