year,universe,value_set,scored,dropped_incomplete_signals,tie_break_slots,cov_est_days,delisted_in_holding_year,k,fscore_mean,fscore_basket_min
2007,74,30,27,36,2,772,0,27,6.333333333333333,4
2008,78,31,30,22,1,756,0,30,6.466666666666667,4
2009,79,32,32,18,6,740,0,30,6.375,5
2010,80,32,31,21,6,733,0,30,4.354838709677419,3
2011,80,32,32,18,1,730,0,30,5.96875,4
2012,82,33,32,19,8,733,0,30,7.21875,6
2013,82,33,33,16,1,734,0,30,5.454545454545454,3
2014,82,33,33,16,3,736,0,30,6.121212121212121,4
2015,82,33,33,16,4,735,0,30,6.333333333333333,5
2016,82,33,33,17,5,734,0,30,6.484848484848484,5
2017,84,34,34,16,4,735,0,30,5.9411764705882355,4
2018,85,34,34,15,4,750,0,30,6.352941176470588,5
2019,84,34,34,15,12,753,0,30,6.588235294117647,6
2020,84,34,34,16,2,751,0,30,5.764705882352941,4
2021,85,34,34,15,1,735,0,30,5.029411764705882,3
2022,86,35,35,14,2,730,0,30,5.057142857142857,3
2023,86,35,35,13,8,733,0,30,6.771428571428571,6
2024,85,34,34,15,3,733,0,30,6.470588235294118,5
