score_year,fiscal_year,ticker,fscore,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_eq_offer,f_dmargin,f_dturn,sector,bm_rank
2011,2011,1605.T,5,1,1,1,1,1,0,0,0,0,Mining,22
2011,2011,1925.T,7,1,1,1,1,1,0,1,1,0,Construction,18
2011,2011,1928.T,8,1,1,1,1,0,1,1,1,1,Construction,8
2011,2011,2503.T,6,1,1,0,1,0,0,1,1,1,Foods,39
2011,2011,2914.T,8,1,1,1,1,1,1,1,0,1,Foods,74
2011,2011,3382.T,6,1,1,1,1,0,0,1,0,1,Retail,46
2011,2011,3402.T,8,1,1,1,1,1,1,0,1,1,Textiles & apparel,61
2011,2011,3407.T,9,1,1,1,1,1,1,1,1,1,Chemicals,30
2011,2011,4063.T,8,1,1,1,1,1,0,1,1,1,Chemicals,47
2011,2011,4188.T,8,1,1,1,1,1,1,0,1,1,Chemicals,16
2011,2011,4452.T,7,1,1,1,1,1,0,1,0,1,Chemicals,72
2011,2011,4502.T,4,1,1,0,1,0,0,1,0,0,Pharmaceuticals,55
2011,2011,4503.T,3,1,1,0,1,0,0,0,0,0,Pharmaceuticals,59
2011,2011,4523.T,6,1,1,1,1,1,1,0,0,0,Pharmaceuticals,73
2011,2011,4568.T,8,1,1,1,1,1,0,1,1,1,Pharmaceuticals,53
2011,2011,4901.T,9,1,1,1,1,1,1,1,1,1,Chemicals,1
2011,2011,4911.T,4,1,1,0,1,0,1,0,0,0,Chemicals,67
2011,2011,5108.T,7,1,1,1,1,0,1,1,0,1,Rubber,48
2011,2011,5201.T,5,1,1,0,1,1,0,1,0,0,Glass & ceramics,25
2011,2011,5401.T,9,1,1,1,1,1,1,1,1,1,Steel,9
2011,2011,5411.T,7,1,1,1,1,1,0,0,1,1,Steel,2
2011,2011,5713.T,9,1,1,1,1,1,1,1,1,1,Nonferrous metals,21
2011,2011,5802.T,8,1,1,1,1,0,1,1,1,1,Nonferrous metals,12
2011,2011,6273.T,7,1,1,1,1,0,0,1,1,1,Machinery,62
2011,2011,6301.T,7,1,1,1,0,1,0,1,1,1,Machinery,69
2011,2011,6326.T,7,1,1,1,1,1,0,1,1,0,Machinery,56
2011,2011,6367.T,7,1,1,1,1,1,1,0,0,1,Machinery,52
2011,2011,6501.T,7,1,1,1,1,1,0,0,1,1,Electric machinery,54
2011,2011,6502.T,9,1,1,1,1,1,1,1,1,1,,
2011,2011,6503.T,7,1,1,1,1,1,0,0,1,1,Electric machinery,60
2011,2011,6594.T,8,1,1,1,1,0,1,1,1,1,Electric machinery,76
2011,2011,6702.T,5,1,1,0,1,1,0,0,1,0,Electric machinery,33
2011,2011,6752.T,5,1,1,1,1,0,0,1,0,0,Electric machinery,5
2011,2011,6758.T,4,0,1,0,1,1,0,0,1,0,Electric machinery,6
2011,2011,6861.T,5,1,1,1,0,0,0,1,0,1,Electric machinery,64
2011,2011,6902.T,8,1,1,1,1,1,1,1,1,0,Electric machinery,20
2011,2011,6954.T,7,1,1,1,1,0,0,1,1,1,Electric machinery,75
2011,2011,6971.T,8,1,1,1,0,1,1,1,1,1,Electric machinery,15
2011,2011,6981.T,6,1,1,1,1,0,0,0,1,1,Electric machinery,34
2011,2011,6988.T,8,1,1,1,1,1,1,1,1,0,Chemicals,44
2011,2011,7011.T,8,1,1,1,1,1,0,1,1,1,Machinery,19
2011,2011,7201.T,8,1,1,1,1,1,1,0,1,1,Automotive,31
2011,2011,7203.T,7,1,1,1,1,1,0,1,1,0,Automotive,14
2011,2011,7267.T,8,1,1,1,1,1,0,1,1,1,Automotive,28
2011,2011,7269.T,7,1,1,1,1,1,1,0,1,0,Automotive,24
2011,2011,7731.T,7,1,1,1,1,0,1,0,1,1,Precision instruments,65
2011,2011,7741.T,7,1,1,1,1,1,1,0,1,0,Precision instruments,71
2011,2011,7751.T,6,1,1,0,1,0,1,1,1,0,Electric machinery,63
2011,2011,7752.T,7,1,1,0,1,1,1,1,0,1,Electric machinery,4
2011,2011,7912.T,7,1,1,1,1,0,1,1,1,0,Other manufacturing,3
