universe_year,names,Net_Income,Sales_Revenue,Total_Assets,Long_Term_Debt,Current_Assets,Current_Liabilities,Operating_Cash_Flow,Shares_Outstanding,Common_Shareholders_Equity,Proceeds_Issuance_Common_Stock,Gross_Profit,Book_Value,Historical_Market_Cap
2012,100,1.0,1.0,1.0,1.0,0.87,0.87,1.0,0.99,1.0,0.0,0.83,0.0,0.0
2013,100,1.0,1.0,1.0,1.0,0.86,0.86,1.0,0.99,1.0,0.0,0.82,0.0,0.0
2014,101,1.0,1.0,1.0,1.0,0.861,0.861,1.0,0.98,1.0,0.0,0.822,0.0,0.0
2015,102,0.99,0.99,0.99,0.99,0.853,0.853,0.99,0.971,0.99,0.0,0.814,0.0,0.0
2016,102,0.99,0.99,0.99,0.99,0.853,0.853,0.99,0.971,0.99,0.0,0.824,0.0,0.0
2017,102,0.99,0.99,0.99,0.99,0.853,0.853,0.99,0.971,0.99,0.0,0.824,0.0,0.0
2018,102,0.99,0.99,0.99,0.99,0.853,0.853,0.99,0.971,0.99,0.0,0.814,0.0,0.0
2019,101,0.99,0.99,0.99,0.99,0.851,0.861,0.99,0.97,0.99,0.0,0.812,0.0,0.0
2020,101,0.99,0.99,0.99,0.99,0.842,0.851,0.99,0.97,0.99,0.0,0.802,0.0,0.0
2021,101,0.99,0.99,0.99,0.99,0.851,0.861,0.99,0.97,0.99,0.0,0.812,0.0,0.0
2022,101,0.99,0.99,0.99,0.99,0.842,0.851,0.99,0.97,0.99,0.0,0.802,0.0,0.0
2023,101,0.99,0.99,0.99,0.99,0.842,0.851,0.99,0.97,0.98,0.0,0.792,0.0,0.0
2024,101,1.0,1.0,1.0,1.0,0.842,0.842,1.0,0.98,1.0,0.0,0.802,0.0,0.0
