year,universe,value_set,scored,dropped_incomplete_signals,tie_break_slots,cov_est_days,delisted_in_holding_year,k,fscore_mean,fscore_basket_min
2012,150,60,60,197,17,756,0,30,5.733333333333333,6
2013,150,60,60,209,18,753,0,30,5.433333333333334,6
2014,150,60,60,218,11,752,0,30,5.666666666666667,6
2015,150,60,59,220,13,753,0,30,5.694915254237288,6
2016,150,60,60,224,10,756,0,30,4.966666666666667,5
2017,150,60,59,188,18,756,0,30,5.372881355932203,6
2018,150,60,60,192,16,755,0,30,5.616666666666666,6
2019,150,60,52,231,13,752,0,30,6.134615384615385,6
2020,150,60,58,224,15,754,0,30,5.517241379310345,6
2021,150,60,59,230,5,755,0,30,5.169491525423729,5
2022,150,60,58,234,3,756,0,30,6.241379310344827,6
2023,150,60,60,235,1,754,0,30,5.633333333333334,5
2024,150,60,59,240,4,752,0,30,5.203389830508475,5
