year,universe,value_set,scored,dropped_incomplete_signals,tie_break_slots,cov_est_days,delisted_in_holding_year,k,fscore_mean,fscore_basket_min
2012,150,60,52,280,6,749,2,30,4.326923076923077,4
2013,150,60,56,205,12,746,0,30,4.821428571428571,5
2014,150,60,57,154,12,746,2,30,4.807017543859649,5
2015,150,60,57,195,4,743,0,30,5.508771929824562,5
2016,150,60,51,256,6,746,0,30,5.196078431372549,5
2017,150,60,53,255,6,749,1,30,5.169811320754717,5
2018,150,60,57,228,7,752,1,30,5.298245614035087,5
2019,150,60,58,153,13,748,1,30,5.637931034482759,6
2020,150,60,58,106,5,750,0,30,5.396551724137931,5
2021,150,60,59,107,4,751,0,30,5.186440677966102,5
2022,150,60,59,99,1,752,1,30,5.6440677966101696,5
2023,150,60,59,92,9,750,0,30,4.1525423728813555,4
2024,150,60,58,90,11,747,1,30,4.879310344827586,5
