year,value_names,usable,reason,universe
2005,0,False,no point-in-time statements,
2006,0,False,no point-in-time statements,
2007,0,False,no point-in-time statements,
2008,0,False,no point-in-time statements,
2009,0,False,no point-in-time statements,
2010,0,False,no point-in-time statements,
2011,60,True,,150.0
2012,60,True,,150.0
2013,60,True,,150.0
2014,60,True,,150.0
2015,60,True,,150.0
2016,60,True,,150.0
2017,60,True,,150.0
2018,60,True,,150.0
2019,60,True,,150.0
2020,60,True,,150.0
2021,60,True,,150.0
2022,60,True,,150.0
2023,60,True,,150.0
2024,60,True,,150.0
2025,60,False,"holding year ends 2026-06-30, past the 2025-06-30 evaluation end",150.0
2026,60,False,"holding year ends 2027-06-30, past the 2025-06-30 evaluation end",150.0
